Orders / Shipping Method Title,Orders / Total Tips Received,Orders / Processed At,Orders / Processed At · Date,Orders / Processed At · Month,Orders / Processed At · Year
"london ,Woodstock, Kitchener, Waterloo, Guelph, Brantford, Hamilton (Next Delivery  SEPT/11)",36.07,"Sep  6, 2021 6:34 PM","Sep  6, 2021","Sep, 2021",2021
Peterborough September/4 - we will contact to arrange delivery,34.06,"Sep  2, 2021 10:27 PM","Sep  2, 2021","Sep, 2021",2021
"Kitchener, Waterloo, Guelph, Brantford, Hamilton (Every second Saturday of the month next AGOSTO/07)",23.02,"Aug  5, 2021 9:59 PM","Aug  5, 2021","Aug, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",22.98,"Sep  3, 2021 4:36 PM","Sep  3, 2021","Sep, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",20.86,"Aug 16, 2021 2:40 PM","Aug 16, 2021","Aug, 2021",2021
Store Pickup,20.67,"Aug 27, 2021 9:59 AM","Aug 27, 2021","Aug, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",20.44,"Aug 11, 2021 3:24 PM","Aug 11, 2021","Aug, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",20.00,"Aug 28, 2021 6:45 PM","Aug 28, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",18.86,"Oct 12, 2021 8:54 PM","Oct 12, 2021","Oct, 2021",2021
Toronto and North York - Made every Tuesday and Friday 6pm - 10pm,17.79,"Jul 30, 2021 3:38 PM","Jul 30, 2021","Jul, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",17.56,"Sep 28, 2021 8:40 PM","Sep 28, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",16.50,"Sep 21, 2021 9:41 AM","Sep 21, 2021","Sep, 2021",2021
Store Pickup,16.20,"Aug  3, 2021 9:34 PM","Aug  3, 2021","Aug, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",15.67,"Aug 17, 2021 2:22 PM","Aug 17, 2021","Aug, 2021",2021
Store Pickup,15.59,"Sep 13, 2021 9:15 PM","Sep 13, 2021","Sep, 2021",2021
Gatineau ONLY ( every last weekend of the month ( next 26-28/june) - we will contact you to arrange delivery,15.32,"Sep 22, 2021 8:01 AM","Sep 22, 2021","Sep, 2021",2021
"Ottawa, Kingston (Every last weekend of the month - next 28-29 agosto  - we will contact you to arrange delivery)",15.00,"Aug 26, 2021 1:10 AM","Aug 26, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",15.00,"Oct  3, 2021 12:32 PM","Oct  3, 2021","Oct, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",14.73,"Aug  4, 2021 9:21 PM","Aug  4, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",14.66,"Sep  7, 2021 11:49 PM","Sep  7, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",14.40,"Sep 17, 2021 7:13 PM","Sep 17, 2021","Sep, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",14.31,"Aug 18, 2021 10:35 PM","Aug 18, 2021","Aug, 2021",2021
East Area and Scarborough - Next delivery 04/SEPT. 10am - 4pm),14.08,"Aug 26, 2021 5:49 PM","Aug 26, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",13.88,"Sep 27, 2021 8:43 PM","Sep 27, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",13.77,"Sep 18, 2021 5:24 PM","Sep 18, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",13.39,"Aug  9, 2021 5:04 PM","Aug  9, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",13.06,"Aug 24, 2021 4:33 PM","Aug 24, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",12.68,"Oct  7, 2021 7:24 PM","Oct  7, 2021","Oct, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",12.57,"Oct  1, 2021 5:36 PM","Oct  1, 2021","Oct, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",12.45,"Sep 22, 2021 2:05 PM","Sep 22, 2021","Sep, 2021",2021
Xpresspost,12.40,"Oct 11, 2021 7:16 PM","Oct 11, 2021","Oct, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",12.39,"Oct  7, 2021 12:10 PM","Oct  7, 2021","Oct, 2021",2021
"Barrie, Alliston, Angus, Innisfil (delivery  9 and 23 SEPTEMBER 6-10pm - we will contact you to arrange delivery)",12.38,"Sep 15, 2021 9:15 PM","Sep 15, 2021","Sep, 2021",2021
"Ottawa, Kingston (Every last weekend of the month - next 28-29 agosto  - we will contact you to arrange delivery)",12.36,"Aug 17, 2021 10:41 AM","Aug 17, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",12.22,"Sep 12, 2021 11:42 PM","Sep 12, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",12.13,"Sep 28, 2021 11:27 PM","Sep 28, 2021","Sep, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,12.09,"Aug 13, 2021 12:21 PM","Aug 13, 2021","Aug, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",12.02,"Aug 23, 2021 3:03 PM","Aug 23, 2021","Aug, 2021",2021
East Area and Scarborough - Next delivery 21/Aug. 10am - 4pm),11.94,"Aug 17, 2021 1:47 PM","Aug 17, 2021","Aug, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",11.93,"Aug 15, 2021 6:21 PM","Aug 15, 2021","Aug, 2021",2021
Toronto and North York - Made every Tuesday and Friday 6pm - 10pm,11.80,"Aug  4, 2021 6:44 PM","Aug  4, 2021","Aug, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",11.78,"Aug  8, 2021 6:49 PM","Aug  8, 2021","Aug, 2021",2021
East Area and Scarborough - Next delivery 04/SEPT. 10am - 4pm),11.73,"Sep  3, 2021 9:52 AM","Sep  3, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",11.62,"Aug 30, 2021 10:34 PM","Aug 30, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",11.59,"Aug 24, 2021 9:09 PM","Aug 24, 2021","Aug, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,11.44,"Aug 17, 2021 8:18 AM","Aug 17, 2021","Aug, 2021",2021
East Area - Every First and Third Saturday of the month (9 am - 3pm),11.38,"Aug  5, 2021 12:39 PM","Aug  5, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",11.09,"Sep 10, 2021 12:32 PM","Sep 10, 2021","Sep, 2021",2021
"Ottawa, Kingston (Every last weekend of the month - next delivery 30-31 OCTOBER  - we will contact you to arrange delivery)",11.08,"Oct 10, 2021 8:39 PM","Oct 10, 2021","Oct, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",11.02,"Oct 14, 2021 12:20 AM","Oct 14, 2021","Oct, 2021",2021
Peterborough September/4 - we will contact to arrange delivery,10.65,"Sep  2, 2021 9:51 PM","Sep  2, 2021","Sep, 2021",2021
Store Pickup,10.64,"Oct  1, 2021 7:58 PM","Oct  1, 2021","Oct, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",10.47,"Sep 13, 2021 11:03 AM","Sep 13, 2021","Sep, 2021",2021
"Barrie, Alliston, Angus, Innisfil (delivery  9 and 23 SEPTEMBER 6-10pm - we will contact you to arrange delivery)",10.40,"Sep 22, 2021 2:43 PM","Sep 22, 2021","Sep, 2021",2021
"Whitiby, Ajax, Pickering, Oshawa, Bowmanville, Courtice  Scarborough - Next delivery 18/SEPT. 10am - 4pm)",10.39,"Sep 17, 2021 10:49 PM","Sep 17, 2021","Sep, 2021",2021
"Ottawa, Kingston (Every last weekend of the month - next 25-27 setembro  - we will contact you to arrange delivery)",10.20,"Sep 16, 2021 8:57 PM","Sep 16, 2021","Sep, 2021",2021
"Barrie, Alliston, Angus, Innisfil (Second and Forth THURSDAYS of each month 6-10pm - we will contact you to arrange delivery)",10.17,"Aug  7, 2021 12:45 PM","Aug  7, 2021","Aug, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",10.06,"Sep 28, 2021 9:50 PM","Sep 28, 2021","Sep, 2021",2021
"Barrie, Alliston, Angus, Innisfil (delivery  14 and 28 OCTOBER  6-10pm - we will contact you to arrange delivery)",10.00,"Oct  1, 2021 10:15 PM","Oct  1, 2021","Oct, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,10.00,"Aug 16, 2021 10:55 AM","Aug 16, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",10.00,"Aug 30, 2021 1:15 PM","Aug 30, 2021","Aug, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",10.00,"Aug  4, 2021 11:55 AM","Aug  4, 2021","Aug, 2021",2021
Toronto and North York - Made every Tuesday and Friday 6pm - 10pm,9.98,"Aug  9, 2021 2:43 PM","Aug  9, 2021","Aug, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",9.90,"Oct 13, 2021 8:11 PM","Oct 13, 2021","Oct, 2021",2021
"london ,Woodstock, Kitchener, Waterloo, Guelph, Brantford, Hamilton (Next Delivery  OCT/9)",9.87,"Sep 30, 2021 5:02 PM","Sep 30, 2021","Sep, 2021",2021
East Area and Scarborough - Next delivery 04/SEPT. 10am - 4pm),9.77,"Aug 31, 2021 9:39 AM","Aug 31, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",9.77,"Sep  3, 2021 10:03 AM","Sep  3, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",9.32,"Sep 11, 2021 9:25 AM","Sep 11, 2021","Sep, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",9.25,"Aug 10, 2021 9:43 PM","Aug 10, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",9.10,"Sep  8, 2021 5:51 PM","Sep  8, 2021","Sep, 2021",2021
Xpresspost,9.07,"Aug  5, 2021 12:53 PM","Aug  5, 2021","Aug, 2021",2021
